budownictwo zrównoważone/Sustainable Building Engineering, Budownictwo Zrównoważone
fizyka techniczna, Fizyka Techniczna
edukacja techniczno-informatyczna, Edukacja Techniczno - Informatyczna
lotnictwo, Lotnictwo
sztuczna inteligencja/Artificial Intelligence, Sztuczna Inteligencja
teleinformatyka, Teleinformatyka
mechanika i budowa pojazdów, Mechanika i Budowa Pojazdów
transport, Transport
mechatronika, Mechatronika
zarządzanie i inżynieria produkcji, Zarządzanie i Inżynieria Produkcji
technologia chemiczna, Technologia Chemiczna, pl
automatyka i robotyka, Automatyka i Robotyka, pl
automatyka i robotyka/Automatic Control and Robotics, Automatyka i Robotyka, en
elektromobilność, Elektromobilność
bioinformatyka, Bioinformatyka
elektronika i telekomunikacja, Elektronika i Telekomunikacja
informatyka, Informatyka
budownictwo, Budownictwo
inżynieria biomedyczna, Inżynieria Biomedyczna
inżynieria zarządzania, Inżynieria Zarządzania, pl
inżynieria zarządzania/Engineering Management, Inżynieria Zarządzania, en
inżynieria farmaceutyczna, Inżynieria Farmaceutyczna
elektrotechnika, Elektrotechnika
matematyka w technice, Matematyka w Technice
mechanika i budowa maszyn, Mechanika i Budowa Maszyn
energetyka, Energetyka
inżynieria środowiska, Inżynieria Środowiska
architektura/Architecture, Architektura, en
architektura, Architektura, pl
architektura wnętrz (profil praktyczny), Architektura Wnętrz
inżynieria bezpieczeństwa, Inżynieria Bezpieczeństwa
logistyka, Logistyka
technologia chemiczna/Chemical Technology, Technologia Chemiczna, en
elektronika i telekomunikacja/Electronics and Telecommunications, Elektronika i Telekomunikacja, en
inżynieria materiałowa, Inżynieria Materiałowa
inżynieria chemiczna i procesowa, Inżynieria Chemiczna i Procesowa
technologie obiegu zamkniętego, Technologie Obiegu Zamkniętego
inżynieria biomedyczna/Biomedical Engineering, Biomedical Engineering
